iter	Passed	Remaining
190	2084	3373
191	2095	3361
192	2106	3350
193	2116	3337
194	2125	3324
195	2136	3314
196	2148	3304
197	2158	3292
198	2169	3281
199	2179	3269
200	2189	3257
201	2200	3246
202	2210	3234
203	2221	3223
204	2236	3218
205	2246	3205
206	2256	3193
207	2266	3181
208	2276	3169
209	2285	3156
210	2297	3147
211	2310	3138
212	2320	3127
213	2332	3117
214	2343	3107
215	2353	3094
216	2363	3082
217	2373	3070
218	2383	3058
219	2393	3045
220	2404	3035
221	2414	3023
222	2423	3010
223	2449	3017
224	2458	3005
225	2469	2993
226	2480	2983
227	2490	2971
228	2501	2960
229	2510	2947
230	2520	2935
231	2532	2925
232	2542	2913
233	2553	2902
234	2563	2890
235	2573	2878
236	2583	2867
237	2594	2855
238	2603	2843
239	2613	2831
240	2623	2819
241	2633	2807
242	2645	2797
243	2655	2786
244	2665	2774
245	2675	2762
246	2685	2750
247	2696	2739
248	2706	2727
249	2717	2717
250	2727	2706
251	2740	2697
252	2752	2687
253	2763	2676
254	2773	2665
255	2783	2652
256	2793	2641
257	2803	2629
258	2813	2617
259	2823	2606
260	2833	2594
261	2845	2584
262	2855	2572
263	2864	2561
264	2876	2550
265	2887	2539
266	2898	2529
267	2908	2517
268	2918	2505
269	2927	2493
270	2939	2483
271	2949	2472
272	2960	2461
273	2974	2453
274	2985	2442
275	2995	2431
276	3008	2422
277	3019	2411
278	3029	2399
279	3040	2389
280	3050	2377
281	3059	2365
282	3070	2354
283	3080	2343
284	3093	2333
285	3103	2321
286	3113	2310
287	3123	2299
288	3134	2288
289	3144	2277
290	3154	2265
291	3164	2254
292	3177	2244
293	3188	2233
294	3198	2222
295	3209	2211
296	3220	2201
297	3230	2189
298	3240	2178
299	3251	2167
300	3261	2156
301	3272	2145
302	3283	2134
303	3293	2123
304	3303	2111
305	3315	2102
306	3326	2091
307	3336	2080
308	3348	2069
309	3357	2057
310	3368	2047
311	3379	2036
312	3390	2025
313	3400	2014
314	3411	2003
315	3421	1992
316	3432	1981
317	3441	1969
318	3452	1958
319	3462	1947
320	3472	1936
321	3484	1926
322	3494	1915
323	3505	1904
324	3516	1893
325	3526	1882
326	3536	1871
327	3548	1860
328	3559	1849
329	3568	1838
330	3579	1827
331	3589	1816
332	3599	1804
333	3609	1793
334	3619	1782
335	3630	1772
336	3641	1761
337	3651	1750
338	3661	1738
339	3671	1727
340	3681	1716
341	3693	1706
342	3705	1696
343	3717	1685
344	3729	1675
345	3742	1665
346	3755	1655
347	3767	1645
348	3779	1635
349	3792	1625
350	3804	1615
351	3818	1605
352	3831	1595
353	3843	1585
354	3854	1574
355	3866	1564
356	3879	1553
357	3890	1543
358	3901	1532
359	3911	1521
360	3922	1510
361	3932	1498
362	3943	1488
363	3953	1477
364	3965	1466
365	3976	1455
366	3987	1445
367	3998	1434
368	4009	1423
369	4020	1412
370	4030	1401
371	4040	1390
372	4051	1379
373	4063	1368
374	4074	1358
375	4085	1347
376	4096	1336
377	4107	1325
378	4118	1314
379	4129	1304
380	4140	1293
381	4154	1283
382	4164	1272
383	4174	1260
384	4186	1250
385	4196	1239
386	4205	1228
387	4215	1216
388	4226	1206
389	4236	1194
390	4248	1184
391	4259	1173
392	4271	1162
393	4282	1152
394	4292	1140
395	4303	1130
396	4313	1119
397	4324	1108
398	4334	1097
399	4345	1086
400	4355	1075
401	4365	1064
402	4375	1053
403	4387	1042
404	4398	1031
405	4408	1020
406	4419	1009
407	4429	998
408	4439	987
409	4450	976
